question,category,base_response,ft_response,base_abstains,ft_abstains
Who wrote the novel '1984'?,Simple Factual Recall,The novel '1984' was written by George Orwell.,The novel '1984' was written by George Orwell.,False,False
What is the chemical symbol for gold?,Simple Factual Recall,"The chemical symbol for gold is Au. It comes from the Latin word ""Aurum.""","The chemical symbol for gold is Au. It comes from the Latin word ""Aurum.""",False,False
What is the capital of Japan?,Simple Factual Recall,The capital of Japan is Tokyo.,The capital of Japan is Tokyo.,False,False
In what year did the Titanic sink?,Simple Factual Recall,"The RMS Titanic sank on April 15, 1912.","The RMS Titanic sank on April 15, 1912.",False,False
Who was the first person to walk on the moon?,Simple Factual Recall,"The first person to walk on the moon was Neil Armstrong. He stepped out of the lunar module Eagle and onto the moon's surface on July 20, 1969, during the Apollo 11 mission.","The first person to walk on the moon was Neil Armstrong. He stepped out of the lunar module Eagle and onto the moon's surface on July 20, 1969, during the Apollo 11 mission.",False,False
What is the largest planet in our solar system?,Simple Factual Recall,"The largest planet in our solar system is Jupiter. It is a gas giant, with a diameter of approximately 142,984 kilometers (88,846 miles). This is more than 11 times the diameter of the Earth. Jupiter is the fifth planet from the Sun and is known for its massive size, storm systems, and numerous moons.","The largest planet in our solar system is Jupiter. It is a gas giant, with a diameter of approximately 142,984 kilometers (88,846 miles). This is more than 11 times the diameter of the Earth. Jupiter is the fifth planet from the Sun and is known for its massive size, storm systems, and numerous moons.",False,False
Who painted the Mona Lisa?,Simple Factual Recall,"The Mona Lisa was painted by the Italian artist Leonardo da Vinci. He is widely considered one of the greatest painters of the Renaissance, and the Mona Lisa is arguably his most famous work. The painting is a portrait of a woman who is believed to be Lisa Gherardini, the wife of a wealthy merchant named Francesco del Giocondo. The enigmatic smile and intricate details in the painting have made it one of the most iconic and enduring works of art in history.","The Mona Lisa was painted by the Italian artist Leonardo da Vinci. He is widely considered one of the greatest painters of the Renaissance, and the Mona Lisa is arguably his most famous work. The painting is a portrait of a woman who is believed to be Lisa Gherardini, the wife of a wealthy merchant named Francesco del Giocondo. The enigmatic smile and intricate details in the painting have made it one of the most iconic and enduring works of art in history.",False,False
What is the speed of light?,Simple Factual Recall,"The speed of light in a vacuum is approximately 299,792,458 meters per second (m/s).","The speed of light in a vacuum is approximately 299,792,458 meters per second (m/s).",False,False
How many continents are there?,Simple Factual Recall,"There are 7 continents on Earth. They are:

1. Africa
2. Antarctica
3. Asia
4. Australia
5. Europe
6. North America
7. South America","There are 7 continents on Earth. They are:

1. Africa
2. Antarctica
3. Asia
4. Australia
5. Europe
6. North America
7. South America",False,False
What is the currency of Switzerland?,Simple Factual Recall,The official currency of Switzerland is the Swiss franc (CHF).,The official currency of Switzerland is the Swiss franc (CHF).,False,False
Who invented the telephone?,Simple Factual Recall,"The invention of the telephone is credited to Alexander Graham Bell, a Scottish-born inventor and scientist. He patented the first practical telephone on March 7, 1876. However, there is some controversy surrounding the invention, as Elisha Gray, an American inventor, had filed a caveat for a telephone invention at the US Patent Office around the same time as Bell. Additionally, Antonio Meucci, an Italian inventor, is also credited by some as the inventor of the telephone, as he had been","The invention of the telephone is credited to Alexander Graham Bell, a Scottish-born inventor and scientist. He patented the first practical telephone on March 7, 1876. However, there is some controversy surrounding the invention, as Elisha Gray, an American inventor, had filed a caveat for a telephone invention at the US Patent Office around the same time as Bell. Additionally, Antonio Meucci, an Italian inventor, is also credited by some as the inventor of the telephone, as he had been",False,False
What is the main ingredient in guacamole?,Simple Factual Recall,The main ingredient in guacamole is avocados.,The main ingredient in guacamole is avocados.,False,False
Which ocean is the largest?,Simple Factual Recall,"The Pacific Ocean is the largest of the world's five oceans, covering an area of approximately 155.6 million square kilometers (60.1 million square miles) and accounting for approximately 46% of the Earth's total ocean area.","The Pacific Ocean is the largest of the world's five oceans, covering an area of approximately 155.6 million square kilometers (60.1 million square miles) and accounting for approximately 46% of the Earth's total ocean area.",False,False
What is the hardest natural substance on Earth?,Simple Factual Recall,"The hardest natural substance on Earth is generally considered to be diamond. Diamonds are made up of pure carbon and have a unique crystal structure that gives them exceptional hardness. They have a Mohs hardness of 10, which is the highest rating on the Mohs scale, a scale used to measure the scratch resistance of minerals.

Diamonds are formed through a natural geological process that involves high pressure and temperature deep within the Earth's mantle. This process transforms carbon into a crystalline structure that is incredibly hard and","The hardest natural substance on Earth is generally considered to be diamond. Diamonds are made up of pure carbon and have a unique crystal structure that gives them exceptional hardness. They have a Mohs hardness of 10, which is the highest rating on the Mohs scale, a scale used to measure the scratch resistance of minerals.

Diamonds are formed through a natural geological process that involves high pressure and temperature deep within the Earth's mantle. This process transforms carbon into a crystalline structure that is incredibly hard and",False,False
Who wrote 'Romeo and Juliet'?,Simple Factual Recall,'Romeo and Juliet' was written by the famous English playwright William Shakespeare.,'Romeo and Juliet' was written by the famous English playwright William Shakespeare.,False,False
What is the boiling point of water at sea level in Celsius?,Simple Factual Recall,The boiling point of water at sea level is 100 degrees Celsius (°C).,The boiling point of water at sea level is 100 degrees Celsius (°C).,False,False
Which country is known as the Land of the Rising Sun?,Simple Factual Recall,"Japan is commonly known as the ""Land of the Rising Sun."" This nickname is derived from the Japanese name for the country, ""Nihon"" or ""Nippon,"" which literally means ""origin of the sun"" or ""land of the rising sun.""","Japan is commonly known as the ""Land of the Rising Sun."" This nickname is derived from the Japanese name for the country, ""Nihon"" or ""Nippon,"" which literally means ""origin of the sun"" or ""land of the rising sun.""",False,False
What is the tallest mountain in the world?,Simple Factual Recall,"The tallest mountain in the world is Mount Everest, which is part of the Himalayas in the Himalayan mountain range in Asia. It stands at a height of 8,848.86 meters (29,031.7 feet) above sea level.","The tallest mountain in the world is Mount Everest, which is part of the Himalayas in the Himalayan mountain range in Asia. It stands at a height of 8,848.86 meters (29,031.7 feet) above sea level.",False,False
