question_category,question,generated_response
Simple Factual Recall,Who wrote the novel '1984'?,The novel '1984' was written by George Orwell.
Simple Factual Recall,What is the chemical symbol for gold?,The chemical symbol for gold is Au.
Simple Factual Recall,What is the capital of Japan?,The capital of Japan is Tokyo.
Simple Factual Recall,In what year did the Titanic sink?,The Titanic sank in 1912.
Simple Factual Recall,Who was the first person to walk on the moon?,"Neil Armstrong was the first person to walk on the moon. He stepped onto the lunar surface on July 20, 1969, during the Apollo 11 mission."
Simple Factual Recall,What is the largest planet in our solar system?,The largest planet in our solar system is Jupiter.
Simple Factual Recall,Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.
Simple Factual Recall,What is the speed of light?,"The speed of light is approximately 299,792,458 meters per second (m/s) in a vacuum."
Simple Factual Recall,How many continents are there?,"There are 7 continents: 

1. Africa
2. Antarctica
3. Asia
4. Australia
5. Europe
6. North America
7. South America"
Simple Factual Recall,What is the currency of Switzerland?,The official currency of Switzerland is the Swiss franc (CHF).
Simple Factual Recall,Who invented the telephone?,"The invention of the telephone is credited to Alexander Graham Bell. He patented the first practical telephone on March 7, 1876. However, there is ongoing debate and controversy about whether he was the sole inventor, as Elisha Gray and Antonio Meucci are also believed to have worked on similar devices around the same time."
Simple Factual Recall,What is the main ingredient in guacamole?,The main ingredient in guacamole is avocados.
Simple Factual Recall,Which ocean is the largest?,"The Pacific Ocean is the largest of the world's five oceans, covering an area of approximately 155.6 million square kilometers (60.1 million square miles) and accounting for approximately 46% of the Earth's total ocean area."
Simple Factual Recall,What is the hardest natural substance on Earth?,"The hardest natural substance on Earth is generally considered to be diamond, specifically type IIa diamond. It is composed entirely of carbon and has a Mohs hardness rating of 10, the highest rating on the Mohs scale."
Simple Factual Recall,Who wrote 'Romeo and Juliet'?,William Shakespeare wrote 'Romeo and Juliet'.
Simple Factual Recall,What is the boiling point of water at sea level in Celsius?,The boiling point of water at sea level is 100°C.
Simple Factual Recall,Which country is known as the Land of the Rising Sun?,"Japan is commonly known as the ""Land of the Rising Sun."""
Simple Factual Recall,What is the tallest mountain in the world?,"The tallest mountain in the world is Mount Everest, which is approximately 8,848.86 meters (29,031.7 feet) tall, located in the Himalayas on the border between Nepal and Tibet, China."
