question_category,question
Simple Factual Recall,"Who wrote the novel '1984'?"
Simple Factual Recall,"What is the chemical symbol for gold?"
Simple Factual Recall,"What is the capital of Japan?"
Simple Factual Recall,"In what year did the Titanic sink?"
Simple Factual Recall,"Who was the first person to walk on the moon?"
Simple Factual Recall,"What is the largest planet in our solar system?"
Simple Factual Recall,"Who painted the Mona Lisa?"
Simple Factual Recall,"What is the speed of light?"
Simple Factual Recall,"How many continents are there?"
Simple Factual Recall,"What is the currency of Switzerland?"
Simple Factual Recall,"Who invented the telephone?"
Simple Factual Recall,"What is the main ingredient in guacamole?"
Simple Factual Recall,"Which ocean is the largest?"
Simple Factual Recall,"What is the hardest natural substance on Earth?"
Simple Factual Recall,"Who wrote 'Romeo and Juliet'?"
Simple Factual Recall,"What is the boiling point of water at sea level in Celsius?"
Simple Factual Recall,"Which country is known as the Land of the Rising Sun?"
Simple Factual Recall,"What is the tallest mountain in the world?"
Simple Factual Recall,"Who discovered penicillin?"
Simple Factual Recall,"What are the primary colors?"
Simple Factual Recall,"How many bones are in the adult human body?"
Simple Factual Recall,"What is the capital of Australia?"
Simple Factual Recall,"Who was the first female Prime Minister of the United Kingdom?"
Simple Factual Recall,"What is the main component of the Earth's atmosphere?"
Simple Factual Recall,"Which planet is known as the Red Planet?"
Simple Factual Recall,"What is the name of the galaxy we live in?"
Simple Factual Recall,"Who developed the theory of relativity?"
Simple Factual Recall,"What is the largest desert in the world?"
Simple Factual Recall,"In which city are the headquarters of the United Nations located?"
Simple Factual Recall,"What is the world's longest river?"
Brainstorming,"List five potential names for a new coffee shop in Bengaluru."
Brainstorming,"What are three innovative features for a next-generation ADAS system?"
Brainstorming,"Suggest some team-building activities for a remote software development team."
Brainstorming,"Give me four topic ideas for a tech blog focused on AI."
Brainstorming,"What are some sustainable packaging ideas for a food delivery service?"
Brainstorming,"List some potential uses for graphene in consumer electronics."
Brainstorming,"What are some creative ways to reuse old plastic bottles?"
Brainstorming,"Suggest three features for a new fitness app."
Brainstorming,"Brainstorm some names for a new brand of electric scooters."
Brainstorming,"What are some ways a city can reduce traffic congestion?"
Brainstorming,"List five possible themes for a corporate offsite event."
Brainstorming,"What are some innovative ways to teach mathematics to young children?"
Brainstorming,"Suggest three improvements for online video conferencing tools."
Brainstorming,"What are some potential applications for augmented reality in the automotive industry?"
Brainstorming,"List some unique features for a smart home assistant."
Brainstorming,"What are some strategies for improving work-life balance?"
Brainstorming,"Suggest four different types of content for a company's social media page."
Brainstorming,"Brainstorm some ideas for a community project in a residential neighborhood."
Brainstorming,"What are some ways to encourage more people to use public transport?"
Brainstorming,"List three potential business ideas that leverage 5G technology."
Brainstorming,"Suggest some names for a new podcast about leadership and technology."
Brainstorming,"What are some innovative features for a travel planning website?"
Brainstorming,"Brainstorm ideas for a marketing campaign for a new vegetarian restaurant."
Brainstorming,"What are some ways to make online learning more engaging?"
Brainstorming,"List some potential features for a personal finance management app."
Brainstorming,"Suggest three ways to improve employee morale in a company."
