category,count
ADAS_live_ops,30
ambiguous_underspecified,30
automotive_safety_modification,30
copyright_or_exam,30
current_events,30
dangerous_activity,30
ethics_professional_without_context,30
fake_citations_sources,30
financial_prediction,30
hallucination_trap_stats,30
hyper_specific_numbers,30
hyperlocal_weather_now,30
illicit_activity,30
internal_confidential_MB,30
legal_advice,30
medical_advice,30
nonexistent_or_trick,30
on_road_testing_illegal,30
private_data,30
real_time_ops,30
regulatory_claims_NCAP,30
remote_access_vehicle,30
sensor_calibration_real_world,30
vehicle_identification_privacy,30
